Linux 5.14.0-570.62.1.el9_6.x86_64 (sample-server) 	04/01/26 	_x86_64_	(64 CPU)

00:00:01        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
06:00:02          5      0.10      0.00      0.11      0.00      0.00      0.01      0.01      0.00      0.00     99.76
06:00:02          6      0.13      0.00      0.24      0.00      0.00      0.01      0.01      0.00      0.00     99.60
06:00:02          7      0.16      0.00      0.23      0.00      0.00      0.01      0.01      0.00      0.00     99.59
06:00:02          8      0.13      0.00      0.15      0.00      0.00      0.01      0.01      0.00      0.00     99.70
06:00:02          9      0.11      0.00      0.31      0.00      0.00      0.01      0.01      0.00      0.00     99.55
06:00:02         10      0.22      0.00      0.35      0.00      0.00      0.02      0.01      0.00      0.00     99.40
06:00:02         11      1.40      0.00      0.31      0.00      0.00      0.02      0.00      0.00      0.00     98.26
06:00:02         12      0.12      0.00      0.20      0.00      0.00      0.02      0.01      0.00      0.00     99.65
06:00:02         13      0.27      0.00      0.24      0.00      0.00      0.01      0.01      0.00      0.00     99.47
06:00:02         14      0.09      0.00      0.07      0.00      0.00      0.01      0.00      0.00      0.00     99.82
06:00:02         15      0.11      0.00      0.11      0.00      0.00      0.01      0.01      0.00      0.00     99.76
06:00:02         16      0.24      0.00      0.33      0.00      0.00      0.02      0.01      0.00      0.00     99.39
06:00:02         17      0.27      0.00      0.23      0.00      0.00      0.02      0.01      0.00      0.00     99.47
06:00:02         18      0.28      0.00      0.11      0.00      0.00      0.01      0.01      0.00      0.00     99.59
06:00:02         19      0.29      0.00      0.16      0.00      0.00      0.01      0.01      0.00      0.00     99.52
06:00:02         20      0.11      0.00      0.30      0.00      0.00      0.01      0.01      0.00      0.00     99.57
06:00:02         21      0.11      0.00      0.18      0.00      0.00      0.01      0.00      0.00      0.00     99.70
06:00:02         22      0.13      0.00      0.26      0.00      0.00      0.02      0.01      0.00      0.00     99.57
06:00:02         23      0.13      0.01      0.16      0.00      0.00      0.01      0.01      0.00      0.00     99.68
06:00:02         24      0.20      0.00      0.24      0.00      0.00      0.02      0.01      0.00      0.00     99.53
06:00:02         25      0.20      0.00      0.31      0.00      0.00      0.02      0.01      0.00      0.00     99.46
06:00:02         26      0.21      0.00      0.13      0.00      0.00      0.01      0.01      0.00      0.00     99.63
06:00:02         27      0.19      0.00      0.15      0.00      0.00      0.01      0.01      0.00      0.00     99.64
06:00:02         28      0.22      0.00      0.09      0.00      0.00      0.01      0.00      0.00      0.00     99.68
06:00:02         29      0.23      0.00      0.11      0.00      0.00      0.01      0.02      0.00      0.00     99.63
06:00:02         30      0.38      0.00      0.17      0.00      0.00      0.01      0.01      0.00      0.00     99.43
06:00:02         31      0.26      0.00      0.11      0.00      0.00      0.01      0.01      0.00      0.00     99.61
06:00:02         32      0.33      0.00      0.15      0.00      0.00      0.03      0.04      0.00      0.00     99.44
06:00:02         33      0.32      0.00      0.22      0.00      0.00      0.02      0.01      0.00      0.00     99.42
06:00:02         34      0.29      0.00      0.23      0.00      0.00      0.02      0.01      0.00      0.00     99.44
06:00:02         35      0.42      0.00      0.17      0.00      0.00      0.02      0.02      0.00      0.00     99.37
06:00:02         36      0.11      0.00      0.16      0.00      0.00      0.01      0.01      0.00      0.00     99.71
06:00:02         37      0.09      0.00      0.10      0.00      0.00      0.01      0.01      0.00      0.00     99.78
06:00:02         38      0.09      0.00      0.10      0.00      0.00      0.01      0.00      0.00      0.00     99.80
06:00:02         39      0.11      0.00      0.14      0.00      0.00      0.01      0.00      0.00      0.00     99.74
06:00:02         40      0.22      0.00      0.23      0.00      0.00      0.01      0.00      0.00      0.00     99.53
06:00:02         41      0.10      0.00      0.11      0.00      0.00      0.01      0.00      0.00      0.00     99.78
06:00:02         42      0.14      0.00      0.17      0.00      0.00      0.01      0.01      0.00      0.00     99.66
06:00:02         43      0.71      0.00      0.19      0.00      0.00      0.01      0.01      0.00      0.00     99.08
06:00:02         44      0.10      0.00      0.11      0.00      0.00      0.01      0.01      0.00      0.00     99.77
06:00:02         45      0.19      0.00      0.13      0.00      0.00      0.01      0.01      0.00      0.00     99.65
06:00:02         46      0.17      0.00      0.07      0.00      0.00      0.00      0.00      0.00      0.00     99.75
06:00:02         47      0.14      0.00      0.06      0.00      0.00      0.00      0.01      0.00      0.00     99.78
06:00:02         48      0.28      0.00      0.11      0.00      0.00      0.01      0.01      0.00      0.00     99.59
06:00:02         49      0.28      0.00      0.16      0.00      0.00      0.01      0.01      0.00      0.00     99.54
